mode,model,features,accuracy,balanced_accuracy,f1_macro,status
hand,logreg,none,0.8333333333333334,0.8333333333333333,0.8285714285714285,ok
hand,lsvm,none,0.8333333333333334,0.8333333333333333,0.8285714285714285,ok
hand,logreg,bandpower,0.8333333333333334,0.8333333333333333,0.8285714285714285,ok
hand,lsvm,bandpower,0.8333333333333334,0.8333333333333333,0.8285714285714285,ok
hand,csp_lda,bandpower,0.5,0.5,0.4857142857142857,ok
